store_id,product_id,product_name,supplier_id,order_qty_units,unit_price,freshness_loss_days,order_weight_kg,candidate_unit_cost
517,102,Fresh Blueberries,2,158,8.83,0.03,19.75,8.877839290165024
517,201,Whole Milk,7,570,1.21,1.06,570.0,2.003196836562264
517,202,Eggs,7,1140,2.18,1.06,68.39999999999999,2.227591810193736
554,101,Fresh Strawberries,10,342,4.64,1.08,85.5,4.858519070982137
554,102,Fresh Blueberries,2,289,8.83,0.03,36.125,8.867879157747089
554,201,Whole Milk,7,882,1.21,1.06,882.0,1.9677531869912035
554,202,Eggs,7,1097,2.18,1.06,65.82,2.2254651912194725
555,101,Fresh Strawberries,10,376,4.64,1.08,94.0,4.919387612802349
555,102,Fresh Blueberries,6,342,7.65,1.07,42.75,7.767300058138085
555,201,Whole Milk,7,1066,1.21,1.06,1066.0,1.8291256927427972
555,202,Eggs,7,841,2.18,1.06,50.46,2.217147541564568
556,101,Fresh Strawberries,10,231,4.64,1.08,57.75,4.8920702110494085
556,102,Fresh Blueberries,2,271,8.83,0.03,33.875,8.883452923401748
556,201,Whole Milk,7,931,1.21,1.06,931.0,1.8392375171239304
556,202,Eggs,7,1133,2.18,1.06,67.98,2.217754251027436
577,101,Fresh Strawberries,10,214,4.64,1.08,53.5,4.879750721368047
577,102,Fresh Blueberries,2,158,8.83,0.03,19.75,8.88161676561897
577,201,Whole Milk,9,650,1.44,1.04,650.0,1.9904796730449923
577,202,Eggs,7,1138,2.18,1.06,68.28,2.231361952531564
602,101,Fresh Strawberries,10,342,4.64,1.08,85.5,4.871191146166843
602,102,Fresh Blueberries,2,169,8.83,0.03,21.125,8.877038835217883
602,201,Whole Milk,7,896,1.21,1.06,896.0,2.0529067708734523
602,202,Eggs,7,497,2.18,1.06,29.82,2.230574406252407
704,101,Fresh Strawberries,2,143,8.23,0.03,35.75,8.335583100852066
704,102,Fresh Blueberries,2,231,8.83,0.03,28.875,8.882791550426033
704,201,Whole Milk,9,982,1.44,1.04,982.0,2.0111667436891634
704,202,Eggs,7,659,2.18,1.06,39.54,2.2353026455038614
847,101,Fresh Strawberries,10,276,4.64,1.08,69.0,4.873586859930012
847,102,Fresh Blueberries,2,148,8.83,0.03,18.5,8.8742140593854
847,201,Whole Milk,7,998,1.21,1.06,998.0,1.853104292037073
847,202,Eggs,7,719,2.18,1.06,43.14,2.2185862575222246
