store_id,product_id,product_name,supplier_id,order_qty_units,unit_price,freshness_loss_days,order_weight_kg,candidate_unit_cost
409,101,Fresh Strawberries,7,285,6.05,1.06,71.25,6.248109381005213
409,102,Fresh Blueberries,2,187,8.83,0.03,23.375,8.872209088471372
409,201,Whole Milk,7,484,1.21,1.06,484.0,2.0024375240208503
409,202,Eggs,7,644,2.18,1.06,38.64,2.227546251441251
420,101,Fresh Strawberries,9,120,6.19,1.04,30.0,6.30657056746152
420,102,Fresh Blueberries,2,129,8.83,0.03,16.125,8.89179347522343
420,201,Whole Milk,4,730,1.96,0.01,730.0,2.0458224084653445
420,202,Eggs,7,399,2.18,1.06,23.939999999999998,2.2246786206488696
517,101,Fresh Strawberries,9,152,6.19,1.04,38.0,6.332498321604385
517,102,Fresh Blueberries,2,106,8.83,0.03,13.25,8.877839290165024
517,201,Whole Milk,4,380,1.96,0.01,380.0,2.1730048719710835
517,202,Eggs,7,760,2.18,1.06,45.6,2.227591810193736
554,101,Fresh Strawberries,7,228,6.05,1.06,57.0,6.2394382967478
554,102,Fresh Blueberries,2,193,8.83,0.03,24.125,8.867879157747089
554,201,Whole Milk,7,588,1.21,1.06,588.0,1.9677531869912035
554,202,Eggs,7,732,2.18,1.06,43.92,2.2254651912194725
555,101,Fresh Strawberries,7,251,6.05,1.06,62.75,6.2047814231856995
555,102,Fresh Blueberries,2,228,8.83,0.03,28.5,8.89711401177728
555,201,Whole Milk,7,711,1.21,1.06,711.0,1.8291256927427972
555,202,Eggs,7,561,2.18,1.06,33.66,2.217147541564568
556,101,Fresh Strawberries,9,154,6.19,1.04,38.5,6.334150248304511
556,102,Fresh Blueberries,2,181,8.83,0.03,22.625,8.883452923401748
556,201,Whole Milk,7,621,1.21,1.06,621.0,1.8392375171239304
556,202,Eggs,7,755,2.18,1.06,45.3,2.217754251027436
577,101,Fresh Strawberries,9,143,6.19,1.04,35.75,6.327619918261249
577,102,Fresh Blueberries,2,105,8.83,0.03,13.125,8.88161676561897
577,201,Whole Milk,4,433,1.96,0.01,433.0,2.2044036403783793
577,202,Eggs,7,759,2.18,1.06,45.54,2.231361952531564
602,101,Fresh Strawberries,7,228,6.05,1.06,57.0,6.260726692718363
602,102,Fresh Blueberries,2,113,8.83,0.03,14.125,8.877038835217883
602,201,Whole Milk,7,598,1.21,1.06,598.0,2.0529067708734523
602,202,Eggs,7,332,2.18,1.06,19.919999999999998,2.230574406252407
704,101,Fresh Strawberries,2,95,8.23,0.03,23.75,8.335583100852066
704,102,Fresh Blueberries,2,154,8.83,0.03,19.25,8.882791550426033
704,201,Whole Milk,9,655,1.44,1.04,655.0,2.0111667436891634
704,202,Eggs,7,440,2.18,1.06,26.4,2.2353026455038614
847,101,Fresh Strawberries,9,184,6.19,1.04,46.0,6.3495429608477485
847,102,Fresh Blueberries,2,99,8.83,0.03,12.375,8.8742140593854
847,201,Whole Milk,7,665,1.21,1.06,665.0,1.853104292037073
847,202,Eggs,7,480,2.18,1.06,28.799999999999997,2.2185862575222246
